number,symbol,name,turkishName,tur,kutle,e-dizilimi,konum,faz;
1,H,Hydrogen,Hidrojen,ametal,1.0079,1s1,1/1A,Gas;
2,He,Helium,Helyum,soygaz,4.0026,1s2,1/8A,Gas;
3,Li,Lithium,Lityum,metal,6.941,[He] 2s1,2/1A,Solid;
4,Be,Beryllium,Berilyum,metal,9.0122,[He] 2s2,2/2A,Solid;
5,B,Boron,Bor,yarimetal,10.811,[He] 2s2 2p1,2/3A,Solid;
6,C,Carbon,Karbon,ametal,12.0107,[He] 2s2 2p2,2/4A,Solid;
7,N,Nitrogen,Azot,ametal,14.0067,[He] 2s2 2p3,2/5A,Gas;
8,O,Oxygen,Oksijen,ametal,15.9994,[He] 2s2 2p4,2/6A,Gas;
9,F,Flor,Flor,halojen,18.9984,[He] 2s2 2p5,2/7A,Gas;
10,Ne,Neon,Neon,soygaz,20.1797,[He] 2s2 2p6,2/8A,Gas;
11,Na,Sodium,Sodyum,metal,22.9897,[Ne] 3s1,3/1A,Solid;
12,Mg,Magnesium,Magnezyum,metal,24.305,[Ne] 3s2,3/2A,Solid;
13,Al,Aluminum,Aluminyum,metal,26.9815,[Ne] 3s2 3p1,3/3A,Solid;
14,Si,Silicon,Silisyum,yarimetal,28.0855,[Ne] 3s2 3p2,3/4A,Solid;
15,P,Phosphorus,Fosfat,ametal,30.9738,[Ne] 3s2 3p3,3/5A,Solid;
16,S,Sulfur,Kükürt,ametal,32.065,[Ne] 3s2 3p4,3/6A,Solid;
17,Cl,Chlorine,Klor,halojen,35.453,[Ne] 3s2 3p5,3/7A,Gas;
18,Ar,Argon,Argon,soygaz,39.948,[Ne] 3s2 3p6,3/8A,Gas;
19,K,Potassium,Potasyum,metal,39.0983,[Ar] 4s1,4/1A,Solid;
20,Ca,Calcium,Kalsiyum,metal,40.078,[Ar] 4s2,2A,Solid;
21,Sc,Scandium,Skandiyum,gecismetal,44.9559,[Ar] 3d1 4s2,4/3B,Solid;
22,Ti,Titanium,Titanyum,gecismetal,47.867,[Ar] 3d2 4s2,4/4B,Solid;
23,V,Vanadium,Vanadyum,gecismetal,50.9415,[Ar] 3d3 4s2,4/5B,Solid;
24,Cr,Chromium,krom,gecismetal,51.9961,[Ar] 3d5 4s1,4/6B,Solid;
25,Mn,Manganese,Mangan,gecismetal,54.938,[Ar] 3d5 4s2,4/7B,Solid;
26,Fe,Iron,Demir,gecismetal,55.845,[Ar] 3d6 4s2,4/8B,Solid;
